GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TTPC-GES,com.ttpc.ges.components,TTPCTextField.new FocusListener() {...},40,6,0,0,8,1,2,1,2,1
TTPC-GES,com.ttpc.ges.components,TTPCComboBox,26,120,0,0,9,17,2,2,2,2
TTPC-GES,com.ttpc.ges.components,TTPCFormattedTextField,32,109,0,0,11,20,2,3,2,3
TTPC-GES,com.ttpc.ges.components,TTPCButton.new FocusListener() {...},36,6,0,0,8,1,2,1,2,1
TTPC-GES,com.ttpc.ges.components,TTPCFormattedTextField.new FocusListener() {...},40,6,0,0,8,1,2,1,2,1
TTPC-GES,com.ttpc.ges.components,TTPCComboBox.new FocusListener() {...},40,6,0,0,8,1,2,1,2,1
TTPC-GES,com.ttpc.ges.components,TTPCButton,48,112,0,0,15,21,3,2,3,2
TTPC-GES,com.ttpc.ges.components,TTPCTextField,26,85,0,0,9,14,2,1,2,1
TTPC-GES,com.ttpc.ges.components,TTPCDialogMouvement,257,0,16,0,48,0,12,0,4,0
TTPC-GES,com.ttpc.ges,Main,64,0,6,0,27,0,9,0,6,0
TTPC-GES,com.ttpc.ges.utils,TTPCDateParser,3,79,0,10,1,13,1,9,1,4
TTPC-GES,com.ttpc.ges.controller,MouvementController.AddMouvementListener,12,37,4,2,1,9,3,2,0,2
TTPC-GES,com.ttpc.ges.controller,AnimalController,0,16,0,0,0,6,0,1,0,1
TTPC-GES,com.ttpc.ges.controller,AnimalController.AddAnimalListener,0,40,1,1,0,9,1,2,0,2
TTPC-GES,com.ttpc.ges.controller,MouvementController,0,17,0,0,0,6,0,1,0,1
TTPC-GES,com.ttpc.ges.view,AnimalPanel.new DefaultTableModel() {...},2,8,0,0,1,1,1,1,1,1
TTPC-GES,com.ttpc.ges.view,MouvementPanel.new DocumentListener() {...},12,6,0,0,3,1,3,1,3,1
TTPC-GES,com.ttpc.ges.view,AnimalPanel.new DocumentFilter() {...},23,6,4,0,6,1,4,1,2,1
TTPC-GES,com.ttpc.ges.view,AnimalPanel.new DocumentListener() {...},12,6,0,0,3,1,3,1,3,1
TTPC-GES,com.ttpc.ges.view,DateLabelFormatter,18,12,2,0,5,3,3,1,2,1
TTPC-GES,com.ttpc.ges.view,AnimalPanel,1093,676,67,1,202,99,52,3,18,3
TTPC-GES,com.ttpc.ges.view,MouvementPanel,1358,731,166,4,286,112,107,4,22,4
TTPC-GES,com.ttpc.ges.view,MainFrame,27,147,3,1,12,31,5,2,3,2
TTPC-GES,com.ttpc.ges.model,Mouvement,73,81,2,0,17,28,5,14,4,14
TTPC-GES,com.ttpc.ges.model,DatabaseManager,959,99,45,3,269,34,39,5,15,5
TTPC-GES,com.ttpc.ges.model,Animal,109,117,0,0,33,47,6,20,6,20
